ID,Audio File ,File Path,Label ,Speaker,Duration_sec,Source
61,61.wav,61.wav,Friendly,Actor 05,11.602,Own_Recoding
62,62.wav,62.wav,Friendly,Actor 05,13.251,Own_Recoding
63,63.wav,63.wav,Friendly,Actor 05,10.921,Own_Recoding
64,64.wav,64.wav,Friendly,Actor 05,10.921,Own_Recoding
65,65.wav,65.wav,Friendly,Actor 05,11.342,Own_Recoding
66,66.wav,66.wav,Friendly,Actor 05,13.342,Own_Recoding
67,67.wav,67.wav,Friendly,Actor 05,11.966,Own_Recoding
68,68.wav,68.wav,Friendly,Actor 05,13.191,Own_Recoding
69,69.wav,69.wav,Friendly,Actor 05,13.261,Own_Recoding
70,70.wav,70.wav,Friendly,Actor 05,11.831,Own_Recoding
71,71.wav,71.wav,Friendly,Actor 05,11.581,Own_Recoding
72,72.wav,72.wav,Friendly,Actor 05,10.711,Own_Recoding
73,73.wav,73.wav,Friendly,Actor 05,9.999,Own_Recoding
74,74.wav,74.wav,Friendly,Actor 05,11.999,Own_Recoding
75,75.wav,75.wav,Friendly,Actor 05,11.101,Own_Recoding
76,76.wav,76.wav,Friendly,Actor 05,10.331,Own_Recoding
77,77.wav,77.wav,Friendly,Actor 05,9.981,Own_Recoding
78,78.wav,78.wav,Friendly,Actor 05,11.751,Own_Recoding
79,79.wav,79.wav,Friendly,Actor 05,11.251,Own_Recoding
80,80.wav,80.wav,Friendly,Actor 05,12.101,Own_Recoding
81,81.wav,81.wav,Friendly,Actor 05,10.111,Own_Recoding
82,82.wav,82.wav,Friendly,Actor 05,12.321,Own_Recoding
83,83.wav,83.wav,Friendly,Actor 05,11.301,Own_Recoding
84,84.wav,84.wav,Friendly,Actor 05,11.162,Own_Recoding
85,85.wav,85.wav,Friendly,Actor 05,11.981,Own_Recoding
86,86.wav,86.wav,Friendly,Actor 05,11.941,Own_Recoding
87,87.wav,87.wav,Friendly,Actor 05,11.302,Own_Recoding
88,88.wav,88.wav,Friendly,Actor 05,11.528,Own_Recoding
89,89.wav,89.wav,Friendly,Actor 05,10.041,Own_Recoding
90,90.wav,90.wav,Friendly,Actor 05,11.141,Own_Recoding
91,91.wav,91.wav,Friendly,Actor 05,10.841,Own_Recoding
92,92.wav,92.wav,Friendly,Actor 05,12.001,Own_Recoding
93,93.wav,93.wav,Friendly,Actor 05,12.681,Own_Recoding
94,94.wav,94.wav,Friendly,Actor 05,11.951,Own_Recoding
95,95.wav,95.wav,Friendly,Actor 05,11.672,Own_Recoding
96,96.wav,96.wav,Friendly,Actor 05,11.071,Own_Recoding
97,97.wav,97.wav,Friendly,Actor 05,14.311,Own_Recoding
98,98.wav,98.wav,Friendly,Actor 05,13.642,Own_Recoding
99,99.wav,99.wav,Friendly,Actor 05,12.331,Own_Recoding
100,100.wav,100.wav,Friendly,Actor 05,10.881,Own_Recoding
101,101.wav,101.wav,Emotional,Actor 01,2.001,Kaggle
102,102.wav,102.wav,Emotional,Actor 01,2.469,Kaggle
103,103.wav,103.wav,Emotional,Actor 01,2.469,Kaggle
104,104.wav,104.wav,Emotional,Actor 01,2.469,Kaggle
105,105.wav,105.wav,Emotional,Actor 01,2.469,Kaggle
106,106.wav,106.wav,Emotional,Actor 01,2.469,Kaggle
107,107.wav,107.wav,Emotional,Actor 01,2.469,Kaggle
108,108.wav,108.wav,Emotional,Actor 01,2.469,Kaggle
109,109.wav,109.wav,Emotional,Actor 01,2.469,Kaggle
110,110.wav,110.wav,Emotional,Actor 01,2.469,Kaggle
111,111.wav,111.wav,Emotional,Actor 01,2.469,Kaggle
112,112.wav,112.wav,Emotional,Actor 01,2.469,Kaggle
113,113.wav,113.wav,Emotional,Actor 01,2.469,Kaggle
114,114.wav,114.wav,Emotional,Actor 01,2.469,Kaggle
115,115.wav,115.wav,Emotional,Actor 03,2.469,Kaggle
116,116.wav,116.wav,Emotional,Actor 01,2.469,Kaggle
117,117.wav,117.wav,Emotional,Actor 01,2.469,Kaggle
118,118.wav,118.wav,Emotional,Actor 01,2.469,Kaggle
119,119.wav,119.wav,Emotional,Actor 01,2.469,Kaggle
120,120.wav,120.wav,Emotional,Actor 01,2.469,Kaggle
121,121.wav,121.wav,Emotional,Actor 01,2.469,Kaggle
122,122.wav,122.wav,Emotional,Actor 01,2.469,Kaggle
123,123.wav,123.wav,Emotional,Actor 01,2.469,Kaggle
124,124.wav,124.wav,Emotional,Actor 01,2.469,Kaggle
125,125.wav,125.wav,Emotional,Actor 01,2.469,Kaggle
126,126.wav,126.wav,Emotional,Actor 01,2.469,Kaggle
127,127.wav,127.wav,Emotional,Actor 03,2.469,Kaggle
128,128.wav,128.wav,Emotional,Actor 03,2.469,Kaggle
129,129.wav,129.wav,Emotional,Actor 03,2.469,Kaggle
130,130.wav,130.wav,Emotional,Actor 03,2.469,Kaggle
131,131.wav,131.wav,Emotional,Actor 03,2.469,Kaggle
132,132.wav,132.wav,Emotional,Actor 03,2.469,Kaggle
133,133.wav,133.wav,Emotional,Actor 03,2.469,Kaggle
134,134.wav,134.wav,Emotional,Actor 03,2.469,Kaggle
135,135.wav,135.wav,Emotional,Actor 03,2.469,Kaggle
136,136.wav,136.wav,Emotional,Actor 03,2.469,Kaggle
137,137.wav,137.wav,Emotional,Actor 03,2.469,Kaggle
138,138.wav,138.wav,Emotional,Actor 03,2.469,Kaggle
139,139.wav,139.wav,Emotional,Actor 03,2.469,Kaggle
140,140.wav,140.wav,Emotional,Actor 03,2.469,Kaggle
141,141.wav,141.wav,Emotional,Actor 03,2.469,Kaggle
142,142.wav,142.wav,Emotional,Actor 03,2.469,Kaggle
143,143.wav,143.wav,Emotional,Actor 03,3.237,Kaggle
144,144.wav,144.wav,Emotional,Actor 03,3.237,Kaggle
145,145.wav,145.wav,Emotional,Actor 03,3.237,Kaggle
146,146.wav,146.wav,Emotional,Actor 03,3.237,Kaggle
147,147.wav,147.wav,Emotional,Actor 03,3.237,Kaggle
148,148.wav,148.wav,Emotional,Actor 03,2.469,Kaggle
149,149.wav,149.wav,Emotional,Actor 03,4.763,Kaggle
150,150.wav,150.wav,Emotional,Actor 03,3.237,Kaggle
151,151.wav,151.wav,Calm,Actor 05,13.022,Own_Recoding
152,152.wav,152.wav,Calm,Actor 05,13.562,Own_Recoding
153,153.wav,153.wav,Calm,Actor 05,12.001,Own_Recoding
154,154.wav,154.wav,Calm,Actor 05,11.561,Own_Recoding
155,155.wav,155.wav,Calm,Actor 05,11.991,Own_Recoding
156,156.wav,156.wav,Calm,Actor 05,12.691,Own_Recoding
157,157.wav,157.wav,Calm,Actor 05,11.521,Own_Recoding
158,158.wav,158.wav,Calm,Actor 05,13.222,Own_Recoding
159,159.wav,159.wav,Calm,Actor 05,12.701,Own_Recoding
160,160.wav,160.wav,Calm,Actor 05,11.971,Own_Recoding
161,161.wav,161.wav,Calm,Actor 05,11.161,Own_Recoding
162,162.wav,162.wav,Calm,Actor 05,13.282,Own_Recoding
163,163.wav,163.wav,Calm,Actor 05,12.881,Own_Recoding
164,164.wav,164.wav,Calm,Actor 05,10.101,Own_Recoding
165,165.wav,165.wav,Calm,Actor 05,13.001,Own_Recoding
166,166.wav,166.wav,Calm,Actor 05,12.191,Own_Recoding
167,167.wav,167.wav,Calm,Actor 06,3.237,Own_Recoding
168,168.wav,168.wav,Calm,Actor 06,7.023,Own_Recoding
169,169.wav,169.wav,Calm,Actor 06,7.023,Own_Recoding
170,170.wav,170.wav,Calm,Actor 06,7.023,Own_Recoding
171,171.wav,171.wav,Calm,Actor 06,8.025,Own_Recoding
172,172.wav,172.wav,Calm,Actor 07,8.025,Own_Recoding
173,173.wav,173.wav,Calm,Actor 07,9.321,Own_Recoding
174,174.wav,174.wav,Calm,Actor 07,9.321,Own_Recoding
175,175.wav,175.wav,Calm,Actor 07,9.321,Own_Recoding
176,176.wav,176.wav,Calm,Actor 07,8.025,Own_Recoding
177,177.wav,177.wav,Calm,Actor 07,7.023,Own_Recoding
178,178.wav,178.wav,Calm,Actor 07,8.025,Own_Recoding
179,179.wav,179.wav,Calm,Actor 07,8.025,Own_Recoding
180,180.wav,180.wav,Calm,Actor 07,8.025,Own_Recoding
181,181.wav,181.wav,Calm,Actor 07,8.025,Own_Recoding
182,182.wav,182.wav,Calm,Actor 06,8.025,Own_Recoding
183,183.wav,183.wav,Calm,Actor 06,8.025,Own_Recoding
184,184.wav,184.wav,Calm,Actor 06,8.025,Own_Recoding
185,185.wav,185.wav,Calm,Actor 06,8.025,Own_Recoding
186,186.wav,186.wav,Calm,Actor 06,8.025,Own_Recoding
187,187.wav,187.wav,Calm,Actor 06,8.025,Own_Recoding
188,188.wav,188.wav,Calm,Actor 06,8.025,Own_Recoding
189,189.wav,189.wav,Calm,Actor 06,8.025,Own_Recoding
190,190.wav,190.wav,Calm,Actor 06,8.025,Own_Recoding
191,191.wav,191.wav,Calm,Actor 08,7.023,Own_Recoding
192,192.wav,192.wav,Calm,Actor 08,31.023,Own_Recoding
193,193.wav,193.wav,Calm,Actor 08,6.203,Own_Recoding
194,194.wav,194.wav,Calm,Actor 08,5.023,Own_Recoding
195,195.wav,195.wav,Calm,Actor 08,7.023,Own_Recoding
